"filename", "language", "JSON", "JavaScript", "JSON with Comments", "Markdown", "Log", "SCSS", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\add-edit-locale\add-edit-country\add-edit-country.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\add-edit-locale\add-edit-country\add-edit-country.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\add-edit-locale\add-edit-country\add-edit-country.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 5, 19
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\add-edit-locale\add-edit-county\add-edit-county.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\add-edit-locale\add-edit-county\add-edit-county.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\add-edit-locale\add-edit-county\add-edit-county.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\add-edit-locale\add-edit-county\add-edit-county.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\locale.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\locale.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 252, 7, 17, 276
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\locale.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\locale.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 297, 0, 0, 10, 56, 363
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\show-locale\show-locale.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 8, 49
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\show-locale\show-locale.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 284, 14, 16, 314
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\show-locale\show-locale.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\show-locale\show-locale.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 19, 124
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\admin\locale\show-locale\tables.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 771, 28, 3, 802
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\api\authentication\authentication-api.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\api\authentication\authentication-api.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 13, 76
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\api\comments\comments-api.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\api\comments\comments-api.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 11, 42
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\api\hotels\hotels-api.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\api\hotels\hotels-api.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 10, 43
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\api\locale\locale-api.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\api\locale\locale-api.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 85, 0, 0, 3, 31, 119
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\api\media\media-api.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\api\media\media-api.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 9, 39
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\api\rooms\rooms-api.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\api\rooms\rooms-api.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 10, 35
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\api\users\user-api.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\api\users\user-api.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 7, 26
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 4, 19
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 5, 145
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\home.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 7, 50
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\home.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 84, 3, 2, 89
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\home.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\Hikmet\Documents\VS\Uyumsoft\Hikovago\HikovagoFrontend\src\app\home\home.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 7, 38
